Fruits,Vegetables,Plants,Fauna,Celebrations
Apples,Broccoli,Cyclamen,Bird and butterfly migration continue,Mid-Autumn Festival (China): Moon celebration
Pears,Brussels sprouts,Passiflora,Mild autumn allows some reptile and amphibian activity,Dia de los Muertos (Mexico): Ancestor honoring
Grapes,Cabbage,Olive trees & vineyards enter harvest,Wetlands support amphibians and migrating fish,Samhain (Ireland/Scotland): Start of winter festival
Pomegranates,Cauliflower,chestnut & walnut harvest,Mammals prepare for winter with foraging and mating,Oktoberfest (Germany): Harvest beer festival
Cranberries,Kale,mushroom foraging,,Chuseok (Korea): Harvest thanksgiving
Figs,Mushrooms,"
Raki/tsipouro distillation season",,Martinmas (Europe): Wheat harvest feast
Persimmons,Celery,,,Törggelen (Italy): Wine and chestnuts
Quinces,Potatoes,,,Cranberry Festival (USA/Canada): Cranberry harvest
Custard apple,Yams,,,Pumpkin Festivals (USA): Pumpkin carving
Avocado,Parsnips,,,Mabon (Neo-Pagan): Autumn equinox
Grapefruit,Beets,,,Erntedankfest (Germany): Harvest thanksgiving
,Turnips,,,Meskel (Ethiopia): Bonfire celebration
,"Winter squash (pumpkin, butternut, acorn)",,,
,Carrots,,,
,Spinach,,,
,Artichokes,,,
,Corn,,,
,Eggplant,,,
,Peppers,,,
,Leeks,,,
